Shipment Date,CountryName,Product,BDS$_Value,,,,,,,
26-Apr-13,United States,BREADFRUIT,"$5,000.00",,,,,,,
26-Apr-13,United States,"CREAM, LOTIONS, SALVE","$2,106.00",,,,,,,
26-Apr-13,United States,RUM,"$254,462.22",,,,,,,
26-Apr-13,United States,RUM,"$58,502.12",,,,,,,
26-Apr-13,United States,RUM,"$311,822.88",,,,,,,
26-Apr-13,United States,RUM,"$123,924.06",,,,,,,
26-Apr-13,United States,RUM,"$119,085.84",,,,,,,
26-Apr-13,Canada,FRESH  PRODUCE ,"$3,270.00",,,,,,,
26-Apr-13,Canada,RUM,"$240,751.02",,,,,,,
30-Apr-13,United States,RESISTORS,"$276,734.56",,,,,,,
30-Apr-13,United States,RUM,"$49,014.42",,,,,,,
30-Apr-13,Canada,RUM,"$311,868.20",,,,,,,
30-Apr-13,Canada,CUT FLOWERS,$588.00,,,,,,,
30-Apr-13,Canada,CUT FLOWERS,$550.00,,,,,,,
02-May-13,United States,SAILS,"$1,528.00",,,,,,,
02-May-13,United States,SAILS,"$3,964.00",,,,,,,
02-May-13,United States,SAILS,"$6,573.58",,,,,,,
02-May-13,United States,SAILS,"$3,594.00",,,,,,,
02-May-13,United States,SAILS,"$9,584.00",,,,,,,
02-May-13,United States,BREADFRUIT,"$5,000.00",,,,,,,
02-May-13,United States,SAILS,"$2,570.00",,,,,,,
03-May-13,United States,RUM,"$236,136.12",,,,,,,
06-May-13,United States,SWEETENED BISCUITS,"$40,572.06",,,,,,,
06-May-13,Canada,CUT FLOWERS,$568.00,,,,,,,
06-May-13,Canada,CUT FLOWERS,$610.00,,,,,,,
07-May-13,United States,SAILS,"$10,157.72",,,,,,,
07-May-13,United States,SAILS,"$10,130.00",,,,,,,
07-May-13,United States,BREADFRUIT,"$2,500.00",,,,,,,
07-May-13,United States,RESISTORS,"$386,275.70",,,,,,,
07-May-13,United States,RUM,"$187,932.54",,,,,,,
07-May-13,United States,RUM,"$150,375.42",,,,,,,
07-May-13,United States,RUM,"$133,377.90",,,,,,,
07-May-13,United States,SAILS,"$9,800.00",,,,,,,
07-May-13,United States,SAILS,"$1,458.00",,,,,,,
07-May-13,Canada,BREADFRUIT,"$1,750.00",,,,,,,
08-May-13,United States,RUM,"$271,728.00",,,,,,,
08-May-13,United States,RUM,"$59,485.80",,,,,,,
08-May-13,United States,RUM,"$118,971.60",,,,,,,
08-May-13,Canada,RUM,"$240,483.34",,,,,,,
09-May-13,United States,BREADFRUITS,"$2,500.00",,,,,,,
10-May-13,United States,DVDS,"$1,000.00",,,,,,,
10-May-13,Canada,SAILS,"$1,958.00",,,,,,,
10-May-13,Canada,RUM,"$240,340.96",,,,,,,
13-May-13,Canada,RUM,"$70,884.80",,,,,,,
13-May-13,Canada,RUM,"$68,163.36",,,,,,,
13-May-13,Canada,RUM,"$123,325.44",,,,,,,
13-May-13,Canada,CUT FLOWERS,$620.00,,,,,,,
13-May-13,Canada,CUT FLOWERS,$620.00,,,,,,,
14-May-13,United States,SAILS,"$7,680.00",,,,,,,
14-May-13,United States,SAILS,"$1,585.00",,,,,,,
14-May-13,United States,SAILS,"$1,666.00",,,,,,,
14-May-13,United States,SAILS,"$13,633.20",,,,,,,
14-May-13,United States,SAILS,"$1,780.00",,,,,,,
14-May-13,United States,SAILS,$942.50,,,,,,,
14-May-13,United States,RUM,"$298,396.92",,,,,,,
14-May-13,Canada,BREADFRUIT,"$1,750.00",,,,,,,
15-May-13,United States,SWEETENED BISCUITS,"$39,257.74",,,,,,,
15-May-13,United States,BREADFRUIT,"$5,000.00",,,,,,,
15-May-13,Canada,BREADFRUIT,"$1,000.00",,,,,,,
15-May-13,Canada,PEPPER,$60.00,,,,,,,
